date_hour,avg_compile_time,avg_queue_time,avg_execution_time,avg_cluster_size,total_cached_queries,total_aborted_queries,avg_mbytes_scanned,avg_mbytes_spilled,avg_joins,avg_scans,avg_aggregations,total_queries
20240317 03,2841.9409964036527,446.098997695235,2879.032290531406,6.378889904951921,13964,823,8658.851488969265,5342.089305452904,0.6922037007259711,1.4449625699022708,2.105906034672717,167913
20240317 04,2891.2562824568736,488.69449083631304,2939.0517021404753,6.617680123282134,14338,821,7684.322603797915,2339.974106784424,0.6812285418594591,1.444226630818681,2.141652475318005,182623
20240317 05,2798.1017295057854,756.1360114871616,2865.292638716757,6.216818703966484,19280,904,10089.959008168818,2659.8257647109517,0.7547731230993497,1.483951277837531,2.175064560687046,183161
20240317 06,2917.6026466278586,480.9640170940171,2969.0635093011565,6.172640529390924,22551,1087,9319.322410462179,2641.3306869234198,0.8062242332830568,1.515801910507793,2.2138210155857214,198900
20240317 07,1724.6622298296586,427.3928346992534,1846.1403657865517,4.645715677292916,39718,1162,5869.900877407234,1858.488217942696,0.584483538953956,1.3277654589914658,1.5247086634171119,307119
20240317 08,2543.831928065614,885.0790737754571,2652.5449247911815,5.503576281563111,24636,1157,6546.580224591246,2335.0669771792536,0.6523501156074296,1.3946905901524653,1.927517127816598,234414
20240317 09,2778.7855014423535,709.0927463430512,2972.9775069106736,6.137446923941385,15690,1078,6648.073032575605,3085.853690876497,0.6992533071642676,1.4678902648160472,2.14320762141653,205841
20240317 10,2882.4663275540906,777.8944180089559,3091.001280744889,6.21625716427004,17300,1531,6326.351885549672,2713.2321248250796,0.6845908627733268,1.4769699632603839,2.158246781777898,213938
20240317 11,4062.4617739111254,1310.7045484525463,4188.118268560337,7.338959466269528,13118,1254,9155.673259597515,2618.8193034935857,0.669679705019567,1.3675571775850048,2.1940111936782727,159197
20240317 12,4289.529591457625,2652.8572058668224,4903.1426015542975,6.225969621108117,14845,1273,9771.320083869588,2816.496223799375,0.6548241009361818,1.3613090394041236,2.2008721959583286,160973
20240317 13,4063.221571234562,1897.4129967239353,4063.5057331132616,6.85946742048127,18469,1070,9415.361513462325,2069.0982143497695,0.6873859004176357,1.3879198239427815,2.3015605071648286,159948
20240317 14,4256.920144663016,1044.6008427560591,4563.485131291286,6.914742809395867,21313,1496,10414.039366364252,3158.155031551888,0.6034109875643527,1.274495169138908,2.1986823855755895,170156
20240317 15,2564.824610023905,989.6470462949061,2736.0866226959915,5.134968012585213,38807,1270,5793.443699470762,2590.806487223611,0.36447593076888163,1.1007426598185075,1.9755658984019022,286403
20240317 16,1603.6539367528414,733.8167751380098,1653.5785485229044,4.123055025589776,50311,1155,4225.356884565171,1145.8827733358482,0.2661971218197593,1.060468401696299,1.9561388467316556,390733
20240317 17,2032.3233992989058,554.1759003056084,2374.9255940089756,4.829083997046672,22214,896,4708.186658823177,1745.399811906118,0.4148323284050549,1.232978166900691,2.183557721428375,290568
20240317 18,1870.4835015137655,402.7399968617606,2182.4368943333134,4.354502640216926,16098,895,4902.4791047321305,2539.848190990479,0.34763306405796,1.1963834495744439,2.1387101835870075,369634
20240317 19,1562.823437254345,369.19665753381474,1700.6109641507105,4.240801071856709,17408,1132,4073.781474622904,2027.5876086588355,0.3452743401886639,1.2051660594151998,2.1103376353181305,380677
20240317 20,2215.517703045092,426.4689542271363,2391.7858865920894,5.978909354264127,16241,1022,6374.6035870380065,3187.398388473199,0.621643041823119,1.3972871490378993,2.1717532622206055,230901
20240317 21,2677.1023495526615,380.3381089104093,2871.1022336853375,6.202319406755872,21688,1144,8743.736833965744,3232.66279487222,0.6755073239573702,1.3991143121319771,2.195863545671322,205490
20240317 22,3353.8904118074365,496.9841079707975,3459.583585464834,6.411878508777136,15700,746,8100.478428591689,3374.9698142107504,0.7081556365588955,1.4606881382885348,2.2174234053758224,193682
20240317 23,2858.1116090773644,636.3702468967399,3070.5853444277723,5.87158322828311,14322,689,10756.563820040219,6502.537178282029,0.7072486700313736,1.4686291092620378,2.0851998363115536,183275
20240318 00,3017.5982738102853,1159.5964879979747,3057.230282387057,6.346406865465571,17049,629,8138.028157084189,5435.937737422998,0.7270488596349911,1.4717382799014982,2.119807369220501,173804
20240318 01,2572.8013951375538,678.7035767724332,2649.012580865203,6.4699895598731425,20628,602,8326.403963750638,4924.983229316892,0.7546758790652642,1.4547484927166308,2.1429828807815867,181784
20240318 02,3058.669058950626,504.74459657778874,3166.482528628012,6.595759717314488,18275,787,7259.329688078136,3882.573546253825,0.663607050617797,1.3652497751313706,2.159122828242448,190111
20240318 03,2185.2972657569585,257.64645333889894,2385.1682066996177,6.61956679203979,14720,964,5714.291078993528,2856.697011970581,0.5694627593469248,1.1797379730383553,2.1028280317619936,210818
20240318 04,2416.567340585755,143.30859601224455,2533.3432148175725,6.505534750685578,14008,905,7004.826355681153,3616.1603789140904,0.648982377761231,1.3621142549846943,2.124834532969306,193392
20240318 05,2691.7097596751933,802.475304693101,2839.532344344565,6.499955623220662,18788,1012,7250.372856901947,1967.2953274997346,0.6427176970164893,1.2603154469751283,2.0499862129818562,181330
20240318 06,3615.3692183397293,648.4722699567704,3814.5091090943265,6.494245625098534,19306,993,9740.435920211938,3960.9646252142747,0.696661117525441,1.3176905727250758,2.129957307413474,148972
20240318 07,2814.7048352060606,483.1403652877502,2705.065749906766,5.208993712699071,45740,1006,6875.955328084944,2591.4418525723777,0.3838684246552709,1.0098851453739501,1.3405324005230534,211833
20240318 08,3154.467470659176,1050.3557791008006,3202.6973176239667,5.979088206144698,28610,1468,9402.821644487425,1761.773374230945,0.42735252439775473,0.9924440816980536,1.834756222741862,199711
20240318 09,3538.132293602938,786.5102141756787,3929.1738341928867,6.281141511857885,16703,1336,6996.481973693178,3184.8972261977783,0.6403579727244156,1.3822548984249818,2.1386551807638607,194093
